Country,Both,Male,Female,national_dish,national_dish_wiki_link,image_link,aspect_ratio,order_2_cols,order_3_cols,order_4_cols
Paraguay,25.8,25.6,26.0,Sopa paraguaya,https://en.wikipedia.org/wiki/Sopa_paraguaya,paraguay.avif,1.1584,48,89,107
Serbia,25.8,26.4,25.2,ćevapčići,https://en.wikipedia.org/wiki/%C4%86evapi,serbia.avif,1.4979,131,144,149
Sweden,25.8,26.7,24.9,köttbullar,https://en.wikipedia.org/wiki/Meatball,sweden.avif,1.3333,49,33,25
Yemen,25.8,25.2,26.5,saltah,https://en.wikipedia.org/wiki/Saltah,yemen.avif,0.9294,132,90,66
Equatorial Guinea,25.6,25.0,26.1,Succotash,https://en.wikipedia.org/wiki/Succotash,equatorial_guinea.avif,1.5059,50,145,108
Mauritius,25.6,25.0,26.2,dholl,https://en.wikipedia.org/wiki/Dal,mauritius.avif,1.7440,133,34,150
Morocco,25.6,25.2,25.9,couscous,https://en.wikipedia.org/wiki/Couscous,morocco.avif,0.9068,51,91,26
Belgium,25.5,26.2,24.7,frites,https://en.wikipedia.org/wiki/French_fries#Belgium_and_the_Netherlands,belgium.avif,1.4953,134,146,67
Croatia,25.5,26.5,24.6,zagorski štrukli,https://en.wikipedia.org/wiki/Zagorski_%C5%A1trukli,croatia.avif,1.3333,52,35,109
Estonia,25.5,27.0,24.3,kama,https://en.wikipedia.org/wiki/Kama_(food),estonia.avif,1.3333,135,92,151
Gabon,25.5,24.6,26.4,poulet nyembwe,https://en.wikipedia.org/wiki/Moambe_chicken,gabon.avif,1.5000,53,147,27
Solomon Islands,25.5,24.5,26.4,,,,,,,
Austria,25.4,26.5,24.4,Wiener schnitzel,https://en.wikipedia.org/wiki/Wiener_schnitzel,austria.avif,1.3634,136,36,68
Netherlands,25.4,25.9,25.0,stamppot,https://en.wikipedia.org/wiki/Stamppot,netherlands.avif,1.4918,54,93,110
Tajikistan,25.4,25.5,25.3,osh palov,https://en.wikipedia.org/wiki/Pilaf#Central_Asia,tajikistan.avif,1.3333,137,148,152
Denmark,25.3,26.0,24.5,stegt flæsk,https://en.wikipedia.org/wiki/Stegt_fl%C3%A6sk,denmark.avif,0.7500,55,37,28
France,25.3,26.1,24.6,escargot,https://en.wikipedia.org/wiki/Escargot,france.avif,1.3333,138,94,69
Italy,25.3,26.1,24.5,pasta,https://en.wikipedia.org/wiki/Pasta,italy.avif,1.3333,56,149,111
Malaysia,25.3,25.0,25.6,nasi lemak,https://en.wikipedia.org/wiki/Nasi_lemak,malaysia.avif,0.7876,139,38,153
Papua New Guinea,25.3,25.0,25.6,,,,,,,
Romania,25.3,25.7,24.9,mămăligă,https://en.wikipedia.org/wiki/M%C4%83m%C4%83lig%C4%83,romania.avif,1.3333,57,95,29
Switzerland,25.3,26.7,23.8,fondue,https://en.wikipedia.org/wiki/Fondue,switzerland.avif,1.0000,140,150,70
South Sudan,25.2,23.7,26.7,,,,,,,
Sudan,25.2,23.7,26.7,,,,,,,
Maldives,25.1,24.2,25.9,mas huni,https://en.wikipedia.org/wiki/Mas_huni,maldives.avif,1.3013,58,39,112
Lesotho,24.9,22.7,27.1,Pap-pap,https://en.wikipedia.org/wiki/Ugali,lesotho.avif,1.5158,141,96,154
Mauritania,24.8,23.2,26.4,,,,,,,
São Tomé and Príncipe,24.8,23.9,25.6,,,,,,,
Botswana,24.7,22.9,26.6,seswaa,https://en.wikipedia.org/wiki/Seswaa,botswana.avif,1.3333,59,151,30
Cape Verde,24.7,23.9,25.4,cachupa,https://en.wikipedia.org/wiki/Cachupa,cape_verde.avif,1.3333,142,40,71
Cameroon,24.4,23.8,25.1,ndolé,https://en.wikipedia.org/wiki/Ndol%C3%A9,cameroon.avif,1.3278,60,97,113
Namibia,24.3,22.9,25.6,,,,,,,
Ghana,24.2,23.4,25.1,fufu,https://en.wikipedia.org/wiki/Fufu,ghana.avif,1.5000,143,152,155
Angola,24.1,23.5,24.6,moamba de galinha,https://en.wikipedia.org/wiki/Moamba_de_galinha,angola.avif,1.5000,61,41,31
Comoros,24.1,23.0,25.1,Langouste a la vanille,https://en.wikipedia.org/wiki/National_dish#C,comoros.avif,0.6100,144,98,72
Haiti,24.1,24.2,24.0,griot,https://en.wikipedia.org/wiki/Griot_(food),haiti.avif,1.5001,62,153,114
Thailand,24.1,23.6,24.6,pad thai,https://en.wikipedia.org/wiki/Pad_thai,thailand.avif,1.0000,145,42,156
Gambia,24.0,23.0,25.1,,,,,,,
Liberia,24.0,23.2,24.9,dumboy,https://en.wikipedia.org/wiki/Dumboy,liberia.avif,1.5000,63,99,32
China,23.9,24.2,23.6,Peking duck,https://en.wikipedia.org/wiki/Peking_duck,china.avif,1.4271,146,154,73
South Korea,23.9,24.3,23.4,kimchi,https://en.wikipedia.org/wiki/Kimchi,south_korea.avif,1.5010,64,43,115
Bhutan,23.8,23.4,24.2,ema datshi,https://en.wikipedia.org/wiki/Ema_datshi,bhutan.avif,0.7494,147,100,157
Pakistan,23.8,23.3,24.4,biryani,https://en.wikipedia.org/wiki/Biryani,pakistan.avif,1.5556,65,155,33
Singapore,23.7,24.3,23.2,chilli crab,https://en.wikipedia.org/wiki/Chilli_crab,singapore.avif,1.5000,148,44,74
Ivory Coast,23.6,23.2,24.1,atcheke,https://en.wikipedia.org/wiki/Atti%C3%A9k%C3%A9,ivory_coast.avif,1.5015,66,101,116
Benin,23.4,22.6,24.3,kuli-kuli,https://en.wikipedia.org/wiki/Kuli-kuli,benin.avif,1.3333,149,156,158
Nigeria,23.4,22.8,24.0,tuwon shinkafa,https://en.wikipedia.org/wiki/Tuwon_shinkafa,nigeria.avif,1.2646,67,45,34
